Date,Open,High,Low,Close
31/7/2018,11311.05,11366,11267.75,11311.05
1/8/2018,11359.8,11390.55,11313.55,11359.8
2/8/2018,11328.9,11328.9,11234.95,11328.9
3/8/2018,11297.8,11368,11294.55,11297.8
6/8/2018,11401.5,11427.65,11370.6,11401.5
7/8/2018,11423.15,11428.95,11359.7,11423.15
8/8/2018,11412.5,11459.95,11379.3,11412.5
9/8/2018,11493.25,11495.2,11454.1,11493.25
10/8/2018,11474.95,11478.75,11419.65,11474.95
13/8/2018,11369.6,11406.3,11340.3,11369.6
14/8/2018,11381.7,11452.45,11370.8,11381.7
16/8/2018,11397.15,11449.85,11366.25,11397.15
17/8/2018,11437.15,11486.45,11431.8,11437.15
20/8/2018,11502.1,11565.3,11499.65,11502.1
21/8/2018,11576.2,11581.75,11539.6,11576.2
23/8/2018,11620.7,11620.7,11546.7,11620.7
24/8/2018,11566.6,11604.6,11532,11566.6
27/8/2018,11605.85,11700.95,11595.6,11605.85
28/8/2018,11731.95,11760.2,11710.5,11731.95
29/8/2018,11744.95,11753.2,11678.85,11744.95
30/8/2018,11694.75,11698.8,11639.7,11694.75
31/8/2018,11675.85,11727.65,11640.1,11675.85
3/9/2018,11751.8,11751.8,11567.4,11751.8
4/9/2018,11598.75,11602.55,11496.85,11598.75
5/9/2018,11514.85,11542.65,11393.85,11514.85
6/9/2018,11514.15,11562.25,11436.05,11514.15
7/9/2018,11558.25,11603,11484.4,11558.25
10/9/2018,11570.25,11573,11427.3,11570.25
11/9/2018,11476.85,11479.4,11274,11476.85
12/9/2018,11340.1,11380.75,11250.2,11340.1
14/9/2018,11443.5,11523.25,11430.55,11443.5
17/9/2018,11464.95,11464.95,11366.9,11464.95
18/9/2018,11381.55,11411.45,11268.95,11381.55
19/9/2018,11326.65,11332.05,11210.9,11326.65
21/9/2018,11271.3,11346.8,10866.45,11271.3
24/9/2018,11164.4,11170.15,10943.6,11164.4
25/9/2018,10969.95,11080.6,10882.85,10969.95
26/9/2018,11145.55,11145.55,10993.05,11145.55
27/9/2018,11079.8,11089.45,10953.35,11079.8
28/9/2018,11008.1,11034.1,10850.3,11008.1
1/10/2018,10930.9,11035.65,10821.55,10930.9
3/10/2018,10982.7,10989.05,10843.75,10982.7
4/10/2018,10754.7,10754.7,10547.25,10754.7
5/10/2018,10514.1,10540.65,10261.9,10514.1
8/10/2018,10310.15,10398.35,10198.4,10310.15
9/10/2018,10390.3,10397.6,10279.35,10390.3
10/10/2018,10331.85,10482.35,10318.25,10331.85
11/10/2018,10169.8,10335.95,10138.6,10169.8
12/10/2018,10331.55,10492.45,10322.15,10331.55
15/10/2018,10524.2,10526.3,10410.15,10524.2
16/10/2018,10550.15,10604.9,10525.3,10550.15
17/10/2018,10688.7,10710.15,10436.45,10688.7
19/10/2018,10339.7,10380.1,10249.6,10339.7
22/10/2018,10405.85,10408.55,10224,10405.85
23/10/2018,10152.6,10222.1,10102.35,10152.6
24/10/2018,10278.15,10290.65,10126.7,10278.15
25/10/2018,10135.05,10166.6,10079.3,10135.05
26/10/2018,10122.35,10128.85,10004.55,10122.35
29/10/2018,10078.1,10275.3,10020.35,10078.1
30/10/2018,10239.4,10285.1,10175.35,10239.4
31/10/2018,10209.55,10396,10105.1,10209.55
1/11/2018,10441.7,10441.9,10341.9,10441.7
2/11/2018,10462.3,10606.95,10457.7,10462.3
5/11/2018,10558.75,10558.8,10477,10558.75
6/11/2018,10552,10600.25,10491.45,10552
7/11/2018,10614.45,10616.45,10582.3,10614.45
9/11/2018,10614.7,10619.55,10544.85,10614.7
12/11/2018,10607.8,10645.5,10464.05,10607.8
13/11/2018,10451.9,10596.25,10440.55,10451.9
14/11/2018,10634.9,10651.6,10532.7,10634.9
15/11/2018,10580.6,10646.5,10557.5,10580.6
16/11/2018,10644,10695.15,10631.15,10644
19/11/2018,10731.25,10774.7,10688.8,10731.25
20/11/2018,10740.1,10740.85,10640.85,10740.1
21/11/2018,10670.95,10671.3,10562.35,10670.95
22/11/2018,10612.65,10646.25,10512,10612.65
26/11/2018,10568.3,10637.8,10489.75,10568.3
27/11/2018,10621.45,10695.15,10596.35,10621.45
28/11/2018,10708.75,10757.8,10699.85,10708.75
29/11/2018,10808.7,10883.05,10782.35,10808.7
30/11/2018,10892.1,10922.45,10835.1,10892.1
3/12/2018,10930.7,10941.2,10845.35,10930.7
4/12/2018,10877.1,10890.95,10833.35,10877.1
5/12/2018,10820.45,10821.05,10747.95,10820.45
6/12/2018,10718.15,10722.65,10588.25,10718.15
7/12/2018,10644.8,10704.55,10599.35,10644.8
10/12/2018,10508.7,10558.85,10474.95,10508.7
11/12/2018,10350.05,10567.15,10333.85,10350.05
12/12/2018,10591,10752.2,10560.8,10591
13/12/2018,10810.75,10838.6,10749.5,10810.75
14/12/2018,10784.5,10815.75,10752.1,10784.5
17/12/2018,10853.2,10900.35,10844.85,10853.2
18/12/2018,10850.9,10915.4,10819.1,10850.9
19/12/2018,10930.55,10985.15,10928,10930.55
20/12/2018,10885.2,10962.55,10880.05,10885.2
21/12/2018,10944.25,10963.65,10738.65,10944.25
24/12/2018,10780.9,10782.3,10649.25,10780.9
26/12/2018,10635.45,10747.5,10534.55,10635.45
27/12/2018,10817.9,10834.2,10764.45,10817.9
28/12/2018,10820.95,10893.6,10817.15,10820.95
31/12/2018,10913.2,10923.55,10853.2,10913.2
1/1/2019,10881.7,10923.6,10807.1,10881.7
2/1/2019,10868.85,10895.35,10735.05,10868.85
3/1/2019,10796.8,10814.05,10661.25,10796.8
4/1/2019,10699.7,10741.05,10628.65,10699.7
7/1/2019,10804.85,10835.95,10750.15,10804.85
8/1/2019,10786.25,10818.45,10733.25,10786.25
9/1/2019,10862.4,10870.4,10749.4,10862.4
10/1/2019,10859.35,10859.35,10801.8,10859.35
11/1/2019,10834.75,10850.15,10739.4,10834.75
14/1/2019,10807,10808,10692.35,10807
15/1/2019,10777.55,10896.95,10777.55,10777.55
16/1/2019,10899.65,10928.15,10876.9,10899.65
17/1/2019,10920.85,10930.65,10844.65,10920.85
18/1/2019,10914.85,10928.2,10852.2,10914.85
21/1/2019,10919.35,10987.45,10885.75,10919.35
22/1/2019,10949.8,10949.8,10864.15,10949.8
23/1/2019,10931.05,10944.8,10811.95,10931.05
24/1/2019,10844.05,10866.6,10798.65,10844.05
25/1/2019,10859.75,10931.7,10756.45,10859.75
28/1/2019,10792.45,10804.45,10630.95,10792.45
29/1/2019,10653.7,10690.35,10583.65,10653.7
30/1/2019,10702.25,10710.2,10612.85,10702.25
31/1/2019,10690.55,10838.05,10678.55,10690.55
1/2/2019,10851.35,10983.45,10813.45,10851.35
4/2/2019,10876.75,10927.9,10814.15,10876.75
5/2/2019,10908.65,10956.7,10886.7,10908.65
6/2/2019,10965.1,11072.6,10962.7,10965.1
7/2/2019,11070.45,11118.1,11043.6,11070.45
8/2/2019,11023.5,11041.2,10925.45,11023.5
11/2/2019,10930.9,10930.9,10857.1,10930.9
12/2/2019,10879.7,10910.9,10823.8,10879.7
13/2/2019,10870.55,10891.65,10772.1,10870.55
14/2/2019,10786.1,10792.7,10718.75,10786.1
15/2/2019,10780.25,10785.75,10620.4,10780.25
18/2/2019,10738.65,10759.9,10628.4,10738.65
19/2/2019,10636.7,10722.85,10585.65,10636.7
20/2/2019,10655.45,10752.7,10646.4,10655.45
21/2/2019,10744.1,10808.85,10721.5,10744.1
22/2/2019,10782.7,10801.55,10758.4,10782.7
25/2/2019,10813.25,10887.1,10788.05,10813.25
26/2/2019,10775.3,10888.75,10729.3,10775.3
27/2/2019,10881.2,10939.7,10751.2,10881.2
28/2/2019,10865.7,10865.7,10784.85,10865.7
1/3/2019,10842.65,10877.9,10823.1,10842.65
5/3/2019,10864.85,10994.9,10817,10864.85
6/3/2019,11024.85,11062.3,10998.85,11024.85
7/3/2019,11077.95,11089.05,11027.1,11077.95
8/3/2019,11038.85,11049,11008.95,11038.85
11/3/2019,11068.75,11180.9,11059.85,11068.75
12/3/2019,11231.35,11320.4,11227,11231.35
13/3/2019,11326.2,11352.3,11276.6,11326.2
